"INSEE";"DEPT";"NUMCANTON"
"02052";"02";"01"
"02053";"02";"10"
"02054";"02";"04"
"02055";"02";"02"
"02056";"02";"09"
"02057";"02";"06"
"02058";"02";"12"
"02059";"02";"42"
"02060";"02";"33"
"02061";"02";"03"
"02062";"02";"08"
"02063";"02";"06"
"02064";"02";"41"
"02065";"02";"06"
"02066";"02";"20"
"02067";"02";"23"
"02068";"02";"27"
"02069";"02";"26"
"02070";"02";"16"
"02071";"02";"35"
"02072";"02";"12"
"02073";"02";"21"
"02074";"02";"14"
"02075";"02";"20"
"02076";"02";"21"
"02077";"02";"41"
"02078";"02";"11"
"02079";"02";"02"
"02080";"02";"18"
"02081";"02";"09"
"02082";"02";"24"
"02083";"02";"15"
"02084";"02";"07"
"02085";"02";"08"
"02086";"02";"11"
"02087";"02";"35"
"02088";"02";"38"
"02089";"02";"41"
"02090";"02";"24"
"02091";"02";"04"
"02093";"02";"11"
"02094";"02";"08"
"02095";"02";"03"
"02096";"02";"13"
"02097";"02";"30"
"02098";"02";"08"
"02099";"02";"22"
"02100";"02";"06"
"02101";"02";"19"
"02102";"02";"12"
"02103";"02";"23"
"02104";"02";"21"
"02105";"02";"08"
"02106";"02";"12"
"02107";"02";"11"
"02108";"02";"01"
"02109";"02";"34"
"02110";"02";"04"
"02111";"02";"01"
"02112";"02";"03"
"02114";"02";"08"
"02115";"02";"12"
"02116";"02";"34"
"02117";"02";"29"
"02118";"02";"32"
"02119";"02";"15"
"02120";"02";"04"
"02121";"02";"24"
"02122";"02";"14"
"02123";"02";"20"
"02124";"02";"20"
"02125";"02";"22"
"02126";"02";"26"
"02127";"02";"15"
"02128";"02";"38"
"02129";"02";"04"
"02130";"02";"17"
"02131";"02";"32"
"02132";"02";"18"
"02133";"02";"30"
"02134";"02";"17"
"02135";"02";"05"
"02136";"02";"34"
"02137";"02";"22"
"02138";"02";"24"
"02139";"02";"09"
"02140";"02";"11"
"02141";"02";"05"
"02142";"02";"29"
"02143";"02";"06"
"02144";"02";"33"
"02145";"02";"09"
"02146";"02";"10"
"02147";"02";"10"
"02148";"02";"32"
"02149";"02";"20"
"02150";"02";"12"
"02151";"02";"18"
"02152";"02";"04"
"02153";"02";"01"
"02154";"02";"24"
"02155";"02";"01"
"02156";"02";"13"
"02157";"02";"18"
"02158";"02";"12"
"02159";"02";"11"
"02160";"02";"26"
"02161";"02";"10"
"02162";"02";"07"
"02163";"02";"07"
"02164";"02";"15"
"02165";"02";"14"
"02166";"02";"10"
"02167";"02";"04"
"02168";"02";"08"
"02169";"02";"19"
"02170";"02";"20"
"02171";"02";"21"
"02172";"02";"24"
"02173";"02";"09"
"02174";"02";"32"
"02175";"02";"31"
"02176";"02";"32"
"02177";"02";"38"
"02178";"02";"12"
"02179";"02";"04"
"02180";"02";"13"
"02181";"02";"26"
"02182";"02";"27"
"02183";"02";"01"
"02184";"02";"25"
"02185";"02";"22"
"02186";"02";"07"
"02187";"02";"08"
"02188";"02";"05"
"02189";"02";"30"
"02190";"02";"32"
"02191";"02";"38"
"02192";"02";"22"
"02193";"02";"15"
"02194";"02";"19"
"02195";"02";"04"
"02196";"02";"38"
"02197";"02";"05"
"02198";"02";"32"
"02199";"02";"29"
"02200";"02";"26"
"02201";"02";"35"
"02203";"02";"15"
"02204";"02";"02"
"02205";"02";"12"
"02206";"02";"27"
"02207";"02";"09"
"02208";"02";"21"
"02209";"02";"10"
"02210";"02";"32"
"02211";"02";"21"
"02212";"02";"09"
"02213";"02";"10"
"02214";"02";"29"
"02215";"02";"12"
"02216";"02";"36"
"02217";"02";"11"
"02218";"02";"30"
"02219";"02";"11"
"02220";"02";"15"
"02221";"02";"07"
"02222";"02";"14"
"02223";"02";"10"
"02224";"02";"04"
"02225";"02";"22"
"02226";"02";"41"
"02227";"02";"15"
"02228";"02";"10"
"02229";"02";"30"
"02230";"02";"04"
"02231";"02";"13"
"02232";"02";"36"
"02233";"02";"24"
"02234";"02";"12"
"02235";"02";"12"
"02236";"02";"11"
"02237";"02";"13"
"02238";"02";"18"
"02239";"02";"10"
"02240";"02";"03"
"02241";"02";"22"
"02242";"02";"07"
"02243";"02";"31"
"02244";"02";"05"
"02245";"02";"31"
"02246";"02";"29"
"02248";"02";"19"
"02249";"02";"24"
"02250";"02";"12"
"02251";"02";"26"
"02252";"02";"12"
"02253";"02";"35"
"02254";"02";"35"
"02255";"02";"04"
"02256";"02";"26"
"02257";"02";"29"
"02258";"02";"22"
"02259";"02";"36"
"02260";"02";"14"
"02261";"02";"13"
"02262";"02";"14"
"02263";"02";"04"
"02264";"02";"26"
"02265";"02";"26"
"02266";"02";"26"
"02267";"02";"35"
"02268";"02";"07"
"02269";"02";"23"
"02270";"02";"33"
"02271";"02";"15"
"02272";"02";"24"
"02273";"02";"29"
"02274";"02";"30"
"02275";"02";"17"
"02276";"02";"05"
"02277";"02";"35"
"02278";"02";"17"
"02279";"02";"08"
"02280";"02";"08"
"02281";"02";"07"
"02282";"02";"38"
"02283";"02";"19"
"02284";"02";"05"
"02286";"02";"23"
"02287";"02";"20"
"02288";"02";"39"
"02289";"02";"07"
"02290";"02";"08"
"02291";"02";"06"
"02292";"02";"08"
