"com_insee";"circo";"status"
"02604";"002-02";"good"
"02614";"002-02";"good"
"02615";"002-02";"good"
"02637";"002-02";"good"
"02639";"002-02";"good"
"02658";"002-02";"good"
"02659";"002-02";"good"
"02691";"002-02";"good"
"02694";"002-02";"good"
"02702";"002-02";"good"
"02708";"002-02";"good"
"02710";"002-02";"good"
"02726";"002-02";"good"
"02747";"002-02";"good"
"02752";"002-02";"good"
"02756";"002-02";"good"
"02772";"002-02";"good"
"02774";"002-02";"good"
"02775";"002-02";"good"
"02776";"002-02";"good"
"02782";"002-02";"good"
"02785";"002-02";"good"
"02808";"002-02";"good"
"02815";"002-02";"good"
"02004";"002-03";"good"
"02006";"002-03";"good"
"02020";"002-03";"good"
"02031";"002-03";"good"
"02035";"002-03";"good"
"02039";"002-03";"good"
"02040";"002-03";"good"
"02044";"002-03";"good"
"02050";"002-03";"good"
"02055";"002-03";"good"
"02061";"002-03";"good"
"02067";"002-03";"good"
"02068";"002-03";"good"
"02070";"002-03";"good"
"02079";"002-03";"good"
"02095";"002-03";"good"
"02101";"002-03";"good"
"02103";"002-03";"good"
"02109";"002-03";"good"
"02112";"002-03";"good"
"02116";"002-03";"good"
"02130";"002-03";"good"
"02134";"002-03";"good"
"02135";"002-03";"good"
"02136";"002-03";"good"
"02141";"002-03";"good"
"02169";"002-03";"good"
"02182";"002-03";"good"
"02184";"002-03";"good"
"02188";"002-03";"good"
"02194";"002-03";"good"
"02197";"002-03";"good"
"02204";"002-03";"good"
"02206";"002-03";"good"
"02240";"002-03";"good"
"02244";"002-03";"good"
"02248";"002-03";"good"
"02269";"002-03";"good"
"02275";"002-03";"good"
"02276";"002-03";"good"
"02278";"002-03";"good"
"02283";"002-03";"good"
"02284";"002-03";"good"
"02286";"002-03";"good"
"02293";"002-03";"good"
"02295";"002-03";"good"
"02298";"002-03";"good"
"02306";"002-03";"good"
"02308";"002-03";"good"
"02312";"002-03";"good"
"02313";"002-03";"good"
"02321";"002-03";"good"
"02323";"002-03";"good"
"02324";"002-03";"good"
"02331";"002-03";"good"
"02334";"002-03";"good"
"02337";"002-03";"good"
"02338";"002-03";"good"
"02341";"002-03";"good"
"02342";"002-03";"good"
"02353";"002-03";"good"
"02357";"002-03";"good"
"02358";"002-03";"good"
"02361";"002-03";"good"
"02366";"002-03";"good"
"02369";"002-03";"good"
"02373";"002-03";"good"
"02376";"002-03";"good"
"02377";"002-03";"good"
"02378";"002-03";"good"
"02379";"002-03";"good"
"02381";"002-03";"good"
"02384";"002-03";"good"
"02385";"002-03";"good"
"02386";"002-03";"good"
"02388";"002-03";"good"
"02391";"002-03";"good"
"02401";"002-03";"good"
"02403";"002-03";"good"
"02404";"002-03";"good"
"02405";"002-03";"good"
"02414";"002-03";"good"
"02416";"002-03";"good"
"02418";"002-03";"good"
"02419";"002-03";"good"
"02422";"002-03";"good"
"02425";"002-03";"good"
"02435";"002-03";"good"
"02444";"002-03";"good"
"02445";"002-03";"good"
"02450";"002-03";"good"
"02455";"002-03";"good"
"02460";"002-03";"good"
"02463";"002-03";"good"
"02468";"002-03";"good"
"02469";"002-03";"good"
"02470";"002-03";"good"
"02476";"002-03";"good"
"02488";"002-03";"good"
"02491";"002-03";"good"
"02493";"002-03";"good"
"02494";"002-03";"good"
"02495";"002-03";"good"
"02500";"002-03";"good"
"02503";"002-03";"good"
"02511";"002-03";"good"
"02513";"002-03";"good"
"02516";"002-03";"good"
"02522";"002-03";"good"
"02535";"002-03";"good"
"02544";"002-03";"good"
"02545";"002-03";"good"
"02547";"002-03";"good"
"02548";"002-03";"good"
"02552";"002-03";"good"
"02558";"002-03";"good"
"02563";"002-03";"good"
"02567";"002-03";"good"
"02569";"002-03";"good"
"02574";"002-03";"good"
"02575";"002-03";"good"
"02584";"002-03";"good"
"02592";"002-03";"good"
"02600";"002-03";"good"
"02605";"002-03";"good"
"02608";"002-03";"good"
"02618";"002-03";"good"
"02623";"002-03";"good"
"02624";"002-03";"good"
"02625";"002-03";"good"
"02629";"002-03";"good"
"02635";"002-03";"good"
"02636";"002-03";"good"
"02640";"002-03";"good"
"02647";"002-03";"good"
"02648";"002-03";"good"
"02650";"002-03";"good"
"02652";"002-03";"good"
"02654";"002-03";"good"
"02657";"002-03";"good"
"02668";"002-03";"good"
"02670";"002-03";"good"
"02674";"002-03";"good"
"02681";"002-03";"good"
"02683";"002-03";"good"
"02684";"002-03";"good"
"02688";"002-03";"good"
"02689";"002-03";"good"
"02703";"002-03";"good"
"02709";"002-03";"good"
"02717";"002-03";"good"
"02721";"002-03";"good"
"02725";"002-03";"good"
"02727";"002-03";"good"
"02728";"002-03";"good"
"02731";"002-03";"good"
"02732";"002-03";"good"
"02737";"002-03";"good"
"02740";"002-03";"good"
"02741";"002-03";"good"
"02742";"002-03";"good"
"02745";"002-03";"good"
"02753";"002-03";"good"
"02757";"002-03";"good"
"02759";"002-03";"good"
"02760";"002-03";"good"
"02769";"002-03";"good"
"02779";"002-03";"good"
"02783";"002-03";"good"
"02784";"002-03";"good"
"02789";"002-03";"good"
"02790";"002-03";"good"
"02813";"002-03";"good"
"02814";"002-03";"good"
"02823";"002-03";"good"
"02826";"002-03";"good"
"02827";"002-03";"good"
"02830";"002-03";"good"
"02831";"002-03";"good"
"02832";"002-03";"good"
"02833";"002-03";"good"
"02001";"002-04";"good"
"02011";"002-04";"good"
"02014";"002-04";"good"
"02034";"002-04";"good"
"02041";"002-04";"good"
"02043";"002-04";"good"
"02049";"002-04";"good"
"02056";"002-04";"good"
"02059";"002-04";"good"
"02064";"002-04";"good"
"02071";"002-04";"good"
"02077";"002-04";"good"
"02078";"002-04";"good"
"02081";"002-04";"good"
"02086";"002-04";"good"
"02087";"002-04";"good"
"02089";"002-04";"good"
"02093";"002-04";"good"
"02107";"002-04";"good"
"02139";"002-04";"good"
"02140";"002-04";"good"
"02145";"002-04";"good"
"02159";"002-04";"good"
"02173";"002-04";"good"
"02175";"002-04";"good"
"02201";"002-04";"good"
"02207";"002-04";"good"
"02212";"002-04";"good"
"02217";"002-04";"good"
"02219";"002-04";"good"
"02226";"002-04";"good"
"02236";"002-04";"good"
"02243";"002-04";"good"
"02245";"002-04";"good"
"02253";"002-04";"good"
"02254";"002-04";"good"
"02267";"002-04";"good"
"02277";"002-04";"good"
"02318";"002-04";"good"
"02326";"002-04";"good"
"02333";"002-04";"good"
"02336";"002-04";"good"
"02362";"002-04";"good"
"02363";"002-04";"good"
"02395";"002-04";"good"
"02398";"002-04";"good"
"02406";"002-04";"good"
"02415";"002-04";"good"
"02423";"002-04";"good"
"02424";"002-04";"good"
"02431";"002-04";"good"
"02456";"002-04";"good"
"02461";"002-04";"good"
"02474";"002-04";"good"
"02477";"002-04";"good"
"02485";"002-04";"good"
"02514";"002-04";"good"
"02527";"002-04";"good"
"02528";"002-04";"good"
"02542";"002-04";"good"
"02546";"002-04";"good"
"02562";"002-04";"good"
"02564";"002-04";"good"
"02566";"002-04";"good"
"02576";"002-04";"good"
"02593";"002-04";"good"
"02598";"002-04";"good"
"02599";"002-04";"good"
"02607";"002-04";"good"
"02610";"002-04";"good"
"02616";"002-04";"good"
"02631";"002-04";"good"
"02632";"002-04";"good"
"02643";"002-04";"good"
"02667";"002-04";"good"
"02671";"002-04";"good"
"02672";"002-04";"good"
"02673";"002-04";"good"
"02686";"002-04";"good"
"02687";"002-04";"good"
"02704";"002-04";"good"
"02706";"002-04";"good"
"02707";"002-04";"good"
"02719";"002-04";"good"
"02722";"002-04";"good"
"02736";"002-04";"good"
"02738";"002-04";"good"
"02750";"002-04";"good"
"02754";"002-04";"good"
"02762";"002-04";"good"
"02767";"002-04";"good"
"02770";"002-04";"good"
"02780";"002-04";"good"
"02786";"002-04";"good"
"02793";"002-04";"good"
"02795";"002-04";"good"
"02805";"002-04";"good"
"02807";"002-04";"good"
"02820";"002-04";"good"
"02003";"002-05";"good"
"02008";"002-05";"good"
"02010";"002-05";"good"
"02012";"002-05";"good"
"02015";"002-05";"good"
"02022";"002-05";"good"
"02023";"002-05";"good"
"02026";"002-05";"good"
"02036";"002-05";"good"
"02042";"002-05";"good"
"02051";"002-05";"good"
"02053";"002-05";"good"
"02054";"002-05";"good"
"02062";"002-05";"good"
"02082";"002-05";"good"
"02083";"002-05";"good"
"02084";"002-05";"good"
"02085";"002-05";"good"
"02090";"002-05";"good"
"02091";"002-05";"good"
"02094";"002-05";"good"
"02098";"002-05";"good"
"02099";"002-05";"good"
"02105";"002-05";"good"
"02110";"002-05";"good"
"02114";"002-05";"good"
"02118";"002-05";"good"
"02119";"002-05";"good"
"02120";"002-05";"good"
"02121";"002-05";"good"
"02125";"002-05";"good"
"02127";"002-05";"good"
"02129";"002-05";"good"
"02131";"002-05";"good"
"02137";"002-05";"good"
"02138";"002-05";"good"
"02146";"002-05";"good"
"02147";"002-05";"good"
"02148";"002-05";"good"
"02152";"002-05";"good"
"02154";"002-05";"good"
"02161";"002-05";"good"
"02162";"002-05";"good"
"02163";"002-05";"good"
"02164";"002-05";"good"
"02166";"002-05";"good"
"02167";"002-05";"good"
"02168";"002-05";"good"
"02172";"002-05";"good"
"02174";"002-05";"good"
"02176";"002-05";"good"
"02179";"002-05";"good"
"02185";"002-05";"good"
"02186";"002-05";"good"
"02187";"002-05";"good"
"02190";"002-05";"good"
"02192";"002-05";"good"
"02193";"002-05";"good"
"02195";"002-05";"good"
"02198";"002-05";"good"
"02203";"002-05";"good"
"02209";"002-05";"good"
"02210";"002-05";"good"
"02213";"002-05";"good"
"02216";"002-05";"good"
"02220";"002-05";"good"
"02221";"002-05";"good"
"02223";"002-05";"good"
"02224";"002-05";"good"
"02225";"002-05";"good"
"02227";"002-05";"good"
"02228";"002-05";"good"
"02230";"002-05";"good"
"02232";"002-05";"good"
"02233";"002-05";"good"
"02239";"002-05";"good"
"02241";"002-05";"good"
"02242";"002-05";"good"
"02249";"002-05";"good"
"02255";"002-05";"good"
"02258";"002-05";"good"
"02259";"002-05";"good"
"02263";"002-05";"good"
"02268";"002-05";"good"
"02271";"002-05";"good"
"02272";"002-05";"good"
"02279";"002-05";"good"
"02280";"002-05";"good"
"02281";"002-05";"good"
"02289";"002-05";"good"
"02290";"002-05";"good"
"02292";"002-05";"good"
"02297";"002-05";"good"
"02302";"002-05";"good"
"02305";"002-05";"good"
"02307";"002-05";"good"
"02311";"002-05";"good"
"02316";"002-05";"good"
"02325";"002-05";"good"
"02328";"002-05";"good"
"02332";"002-05";"good"
"02339";"002-05";"good"
"02347";"002-05";"good"
"02348";"002-05";"good"
"02351";"002-05";"good"
"02356";"002-05";"good"
"02368";"002-05";"good"
"02372";"002-05";"good"
"02375";"002-05";"good"
"02389";"002-05";"good"
"02393";"002-05";"good"
"02400";"002-05";"good"
"02410";"002-05";"good"
"02411";"002-05";"good"
"02412";"002-05";"good"
"02421";"002-05";"good"
"02427";"002-05";"good"
"02428";"002-05";"good"
"02432";"002-05";"good"
"02438";"002-05";"good"
"02439";"002-05";"good"
"02441";"002-05";"good"
"02442";"002-05";"good"
"02443";"002-05";"good"
"02447";"002-05";"good"
"02449";"002-05";"good"
"02458";"002-05";"good"
"02462";"002-05";"good"
"02464";"002-05";"good"
"02465";"002-05";"good"
"02466";"002-05";"good"
"02467";"002-05";"good"
"02479";"002-05";"good"
"02484";"002-05";"good"
"02487";"002-05";"good"
"02496";"002-05";"good"
"02505";"002-05";"good"
"02506";"002-05";"good"
"02507";"002-05";"good"
"02509";"002-05";"good"
"02510";"002-05";"good"
"02512";"002-05";"good"
"02515";"002-05";"good"
"02518";"002-05";"good"
"02520";"002-05";"good"
"02521";"002-05";"good"
"02523";"002-05";"good"
"02524";"002-05";"good"
"02533";"002-05";"good"
"02536";"002-05";"good"
"02537";"002-05";"good"
"02538";"002-05";"good"
"02540";"002-05";"good"
"02543";"002-05";"good"
"02551";"002-05";"good"
"02554";"002-05";"good"
"02555";"002-05";"good"
"02557";"002-05";"good"
"02568";"002-05";"good"
"02577";"002-05";"good"
"02579";"002-05";"good"
"02580";"002-05";"good"
"02581";"002-05";"good"
"02585";"002-05";"good"
"02589";"002-05";"good"
"02590";"002-05";"good"
"02594";"002-05";"good"
"02595";"002-05";"good"
"02596";"002-05";"good"
"02597";"002-05";"good"
"02606";"002-05";"good"
"02612";"002-05";"good"
"02620";"002-05";"good"
"02622";"002-05";"good"
"02628";"002-05";"good"
"02633";"002-05";"good"
"02644";"002-05";"good"
"02645";"002-05";"good"
"02646";"002-05";"good"
"02649";"002-05";"good"
"02653";"002-05";"good"
"02655";"002-05";"good"
"02662";"002-05";"good"
"02663";"002-05";"good"
"02664";"002-05";"good"
"02665";"002-05";"good"
"02669";"002-05";"good"
"02677";"002-05";"good"
"02679";"002-05";"good"
"02682";"002-05";"good"
"02693";"002-05";"good"
"02695";"002-05";"good"
"02698";"002-05";"good"
"02699";"002-05";"good"
"02701";"002-05";"good"
"02711";"002-05";"good"
"02712";"002-05";"good"
"02713";"002-05";"good"
"02714";"002-05";"good"
"02715";"002-05";"good"
"02718";"002-05";"good"
"02724";"002-05";"good"
"02729";"002-05";"good"
"02730";"002-05";"good"
"02734";"002-05";"good"
"02735";"002-05";"good"
"02739";"002-05";"good"
"02744";"002-05";"good"
"02748";"002-05";"good"
"02749";"002-05";"good"
"02758";"002-05";"good"
"02763";"002-05";"good"
"02766";"002-05";"good"
"02771";"002-05";"good"
"02773";"002-05";"good"
"02777";"002-05";"good"
"02781";"002-05";"good"
"02792";"002-05";"good"
"02794";"002-05";"good"
"02796";"002-05";"good"
"02797";"002-05";"good"
"02798";"002-05";"good"
"02799";"002-05";"good"
"02800";"002-05";"good"
"02804";"002-05";"good"
"02806";"002-05";"good"
"02809";"002-05";"good"
"02810";"002-05";"good"
"02811";"002-05";"good"
"02812";"002-05";"good"
"02816";"002-05";"good"
"02817";"002-05";"good"
"02818";"002-05";"good"
"02822";"002-05";"good"
"02828";"002-05";"good"
"02829";"002-05";"good"
"03002";"003-01";"good"
"03009";"003-01";"good"
"03011";"003-01";"good"
"03012";"003-01";"good"
"03013";"003-01";"good"
"03015";"003-01";"good"
"03016";"003-01";"good"
"03018";"003-01";"good"
"03019";"003-01";"good"
"03025";"003-01";"good"
"03026";"003-01";"good"
"03029";"003-01";"good"
