018-03;18002,18006,18007,18008,18009,18010,18012,18013,18017,18018,18021,18023,18024,18025,18027,18029,18031,18034,18038,18040,18041,18042,18043,18045,18046,18048,18049,18052,18053,18054,18056,18057,18058,18059,18060,18061,18062,18063,18065,18068,18069,18071,18072,18073,18075,18076,18077,18078,18080,18081,18082,18083,18086,18087,18089,18090,18091,18092,18093,18095,18099,18101,18102,18104,18105,18106,18107,18108,18110,18112,18113,18114,18118,18119,18120,18121,18122,18123,18126,18127,18129,18130,18131,18132,18135,18136,18139,18142,18143,18152,18153,18154,18155,18158,18160,18161,18164,18166,18169,18171,18172,18173,18174,18175,18177,18178,18180,18183,18184,18187,18191,18192,18193,18195,18196,18197,18199,18201,18203,18204,18209,18212,18215,18216,18217,18218,18220,18221,18222,18224,18225,18230,18231,18232,18234,18236,18238,18239,18240,18242,18245,18247,18248,18250,18251,18252,18254,18260,18261,18265,18266,18267,18268,18270,18273,18275,18276,18277,18278,18282,18283,18286,18288,18289
020-01;20001,20006,20014,20017,20019,20022,20027,20028,20029,20030,20032,20033,20037,20040,20042,20043,20046,20048,20058,20060,20062,20065,20070,20086,20090,20100,20103,20107,20108,20109,20120,20131,20136,20141,20144,20148,20152,20154,20159,20170,20172,20174,20178,20183,20184,20185,20187,20188,20196,20197,20198,20203,20204,20205,20209,20212,20223,20224,20230,20233,20239,20240,20257,20258,20259,20261,20262,20265,20266,20270,20271,20279,20281,20282,20287,20295,20298,20301,20305,20309,20314,20323,20324,20327,20330,20332,20333,20336,20345,20348,20350,20351,20353
020-02;20002,20003,20005,20007,20008,20009,20010,20011,20012,20013,20015,20016,20018,20020,20021,20023,20024,20025,20026,20031,20034,20035,20036,20038,20039,20041,20045,20047,20049,20050,20051,20052,20053,20054,20055,20056,20057,20059,20061,20063,20064,20066,20067,20068,20069,20071,20072,20073,20074,20075,20077,20078,20079,20080,20081,20082,20083,20084,20085,20087,20088,20089,20091,20092,20093,20094,20095,20096,20097,20098,20099,20101,20102,20104,20105,20106,20110,20111,20112,20113,20114,20115,20116,20117,20118,20119,20121,20122,20123,20124,20125,20126,20127,20128,20129,20130,20132,20133,20134,20135,20137,20138,20139,20140,20142,20143,20145,20146,20147,20149,20150,20153,20155,20156,20157,20158,20160,20161,20162,20163,20164,20165,20166,20167,20168,20169,20171,20173,20175,20176,20177,20179,20180,20181,20182,20186,20189,20190,20191,20192,20193,20194,20195,20199,20200,20201,20202,20206,20207,20208,20210,20211,20213,20214,20215,20216,20217,20218,20219,20220,20221,20222,20225,20226,20227,20228,20229,20231,20232,20234,20235,20236,20238,20241,20242,20243,20244,20245,20246,20247,20248,20249,20250,20251,20252,20253,20254,20255,20256,20260,20263,20264,20267,20268,20269,20272,20273,20274,20275,20276,20277,20278,20280,20283,20284,20285,20286,20288,20289,20290,20291,20292,20293,20296,20297,20299,20300,20302,20303,20304,20306,20307,20308,20310,20311,20312,20313,20315,20316,20317,20318,20319,20320,20321,20322,20326,20328,20329,20331,20334,20335,20337,20338,20339,20340,20341,20342,20343,20344,20346,20347,20349,20352,20354,20355,20356,20357,20358,20359,20360,20361,20362,20363,20364,20365,20366
021-01;21003,21027,21059,21192,21223,21227,21255,21270,21273,21278,21315,21339,21408,21462,21478,21485,21508,21591,21617,21661
021-02;21016,21028,21038,21053,21056,21060,21071,21072,21074,21076,21079,21094,21107,21111,21135,21138,21146,21158,21167,21175,21179,21180,21215,21225,21233,21256,21268,21269,21277,21281,21316,21323,21331,21337,21348,21367,21369,21371,21376,21398,21416,21433,21437,21459,21467,21468,21469,21482,21493,21495,21496,21503,21522,21535,21540,21555,21556,21562,21571,21574,21595,21609,21610,21618,21619,21624,21639,21643,21644,21657,21680,21682,21699,21701,21713
021-03;21005,21021,21057,21067,21105,21106,21126,21130,21166,21171,21183,21209,21213,21242,21261,21292,21319,21320,21330,21351,21352,21353,21355,21370,21388,21390,21452,21473,21481,21486,21487,21507,21515,21521,21532,21605,21621,21622,21623,21632,21656
025-01;25001,25002,25021,25030,25034,25035,25036,25044,25055,25084,25090,25098,25101,25103,25104,25105,25106,25109,25115,25119,25126,25134,25136,25143,25147,25149,25150,25154,25162,25164,25171,25172,25185,25195,25209,25212,25217,25220,25225,25235,25253,25257,25258,25283,25287,25317,25326,25328,25330,25332,25336,25340,25371,25374,25379,25381,25383,25397,25399,25406,25414,25416,25427,25438,25443,25445,25448,25450,25454,25455,25460,25466,25467,25473,25475,25477,25482,25488,25500,25502,25507,25509,25510,25511,25527,25528,25536,25542,25561,25564,25593,25594,25616,25622,25631
025-02;25014,25016,25027,25045,25058,25065,25073,25076,25078,25086,25088,25092,25107,25111,25112,25116,25117,25120,25123,25129,25130,25132,25133,25137,25152,25153,25163,25186,25189,25197,25200,25208,25211,25215,25242,25245,25250,25265,25267,25269,25273,25278,25297,25300,25305,25323,25331,25339,25346,25360,25364,25368,25375,25376,25382,25395,25400,25410,25415,25417,25418,25429,25430,25434,25437,25439,25444,25468,25474,25490,25491,25495,25506,25508,25518,25532,25535,25537,25538,25557,25558,25560,25563,25566,25569,25575,25576,25579,25582,25587,25598,25599,25611,25612,25624,25628,25630,25633
027-01;27002,27004,27017,27019,27024,27027,27032,27036,27038,27043,27044,27054,27073,27076,27078,27081,27108,27111,27112,27114,27115,27119,27123,27136,27144,27145,27154,27155,27157,27158,27159,27166,27171,27172,27177,27181,27182,27183,27190,27193,27195,27198,27206,27220,27225,27230,27231,27234,27254,27256,27259,27265,27271,27273,27277,27278,27280,27291,27293,27297,27301,27303,27305,27306,27309,27312,27326,27341,27347,27350,27355,27358,27360,27368,27376,27378,27383,27387,27390,27391,27397,27400,27406,27410,27411,27416,27419,27421,27423,27429,27438,27448,27457,27464,27465,27478,27481,27484,27491,27503,27507,27510,27521,27532,27543,27544,27548,27555,27560,27565,27573,27578,27610,27611,27615,27621,27634,27643,27659,27668,27674,27678,27679,27684,27688,27689,27693,27696
027-02;27001,27009,27020,27023,27031,27033,27037,27040,27047,27050,27051,27052,27055,27057,27061,27063,27068,27069,27074,27075,27082,27095,27096,27099,27109,27113,27116,27118,27120,27125,27127,27132,27135,27137,27139,27141,27143,27147,27156,27161,27162,27164,27165,27185,27187,27189,27192,27200,27201,27210,27212,27215,27216,27217,27219,27224,27235,27238,27240,27241,27242,27253,27266,27268,27281,27282,27287,27290,27298,27299,27300,27311,27318,27323,27325,27327,27342,27345,27353,27354,27359,27364,27371,27374,27380,27389,27401,27402,27418,27424,27425,27427,27428,27431,27432,27433,27436,27439,27441,27446,27447,27451,27452,27466,27472,27486,27489,27492,27498,27502,27504,27508,27511,27524,27527,27535,27536,27546,27568,27570,27576,27584,27592,27602,27609,27618,27630,27640,27641,27642,27650,27652,27658,27663,27677,27685,27692,27695,27698
